2011-09-24 07:38:46 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:38:46 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:38:46 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:38:54 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:38:54 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:38:54 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:38:54 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:43:18 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:43:18 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:43:18 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:43:18 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:43:26 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:43:26 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:43:26 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:43:26 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:43:39 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:43:39 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:43:39 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:43:39 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:43:52 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:43:52 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:43:52 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:43:52 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:45:36 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:45:36 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:45:36 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:45:36 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:45:48 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:45:48 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:45:48 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:45:48 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:46:15 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:46:15 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:46:15 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:46:15 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:46:21 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:46:21 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:46:21 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:46:21 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:46:53 Debug: Notice (8): Undefined variable: xml in [C:\xampp\htdocs\dbMiniProject\views\routes\api.ctp, line 1]
2011-09-24 07:54:55 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:54:55 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:54:55 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:54:55 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:55:03 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:55:03 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:55:03 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:55:03 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:55:03 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:55:03 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:55:03 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:55:03 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:55:50 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:55:50 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:55:50 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:55:50 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:59:54 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:59:54 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:59:54 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:59:54 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:59:59 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:59:59 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:59:59 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:59:59 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 08:18:37 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 08:18:37 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 08:18:37 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 08:18:37 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 08:37:32 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 08:37:32 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 08:37:32 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 08:37:32 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 08:37:43 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 08:37:43 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 08:37:43 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 08:37:43 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 08:37:52 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 08:37:52 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 08:37:52 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
